date,first,second,third
28/02/2024,3508,7654,2059
02/03/2024,3999,2832,8054
03/03/2024,3785,6107,7448
05/03/2024,0852,9463,1823
06/03/2024,9300,9080,9325
09/03/2024,6925,8576,9109
10/03/2024,9940,6093,6938
13/03/2024,0858,6268,0621
16/03/2024,9871,4648,3158
17/03/2024,2023,1933,5156
20/03/2024,8694,1884,1153
23/03/2024,5648,0424,4016
24/03/2024,7622,2637,9677
27/03/2024,3188,3478,3719
30/03/2024,3021,8996,9532
31/03/2024,2971,8464,7666
03/04/2024,3091,6288,8366
06/04/2024,1100,5869,7715
07/04/2024,5104,0711,1199
10/04/2024,7988,9603,8769
13/04/2024,1366,9491,7346
14/04/2024,8831,4549,3618
17/04/2024,6143,5345,7264
20/04/2024,5190,1205,5827
21/04/2024,9865,1151,3184
24/04/2024,3771,1487,4773
27/04/2024,8418,2248,5886
28/04/2024,6574,1349,7428
01/05/2024,0621,1543,3948
04/05/2024,3871,3523,6308
05/05/2024,1116,6190,3258
08/05/2024,5559,7193,9260
11/05/2024,1960,8035,5765
12/05/2024,5913,9505,6526
15/05/2024,5203,4035,4787
18/05/2024,1401,0532,9364
19/05/2024,9755,5973,3283
22/05/2024,5973,9881,5425
25/05/2024,8837,9485,3177
26/05/2024,8791,1572,7038
28/05/2024,8890,1339,1863
29/05/2024,9349,9800,5741
01/06/2024,0715,9906,3956
02/06/2024,2482,9092,4859
05/06/2024,5744,2761,9903
08/06/2024,6775,9038,6627
09/06/2024,5133,3632,5782
12/06/2024,9311,3030,3380
15/06/2024,9179,1289,7170
16/06/2024,5720,9542,0781
19/06/2024,2415,5767,1147
22/06/2024,9011,6178,7421
23/06/2024,5288,7139,5412
25/06/2024,7119,1825,3055
26/06/2024,7235,0990,7917
29/06/2024,6657,2522,4412
30/06/2024,8669,1371,8217
03/07/2024,5186,1718,4405
06/07/2024,2069,9706,1198
07/07/2024,0838,3409,8283
10/07/2024,2206,0316,6892
13/07/2024,0338,9098,8986
14/07/2024,8547,0280,5023
17/07/2024,3539,5266,8726
20/07/2024,6705,7448,9958
21/07/2024,0057,6782,9848
24/07/2024,7262,6799,9875
27/07/2024,3869,0594,4282
28/07/2024,6616,4309,7433
31/07/2024,6614,2219,9253
03/08/2024,2377,4804,6538
04/08/2024,8277,2973,8571
07/08/2024,2909,1836,1035
10/08/2024,6079,0773,9515
11/08/2024,5939,3762,9402
13/08/2024,1441,6864,6505
14/08/2024,0663,1466,4494
17/08/2024,3481,2858,6543
18/08/2024,5126,8041,4815
21/08/2024,9830,5178,5713
24/08/2024,2418,7544,2877
25/08/2024,9904,4800,8528
28/08/2024,9653,5213,3863
31/08/2024,9288,6554,5099
01/09/2024,8627,2160,5335
04/09/2024,3129,7827,0905
07/09/2024,0296,8549,0556
08/09/2024,2240,9444,1232
11/09/2024,3168,4085,7777
14/09/2024,0046,7112,0161
15/09/2024,5310,6681,8430
18/09/2024,5231,0374,5016
21/09/2024,0030,9418,6009
22/09/2024,0079,5411,1631
25/09/2024,6195,1109,8901
28/09/2024,2797,9707,0688
29/09/2024,9081,2583,6569
02/10/2024,7165,8792,2820
05/10/2024,7176,1820,2395
06/10/2024,3117,5341,8992
09/10/2024,1450,1404,7938
12/10/2024,4451,2984,5629
13/10/2024,7178,4959,4866
16/10/2024,2681,2949,5476
19/10/2024,9663,8866,5522
20/10/2024,3921,1446,9450
23/10/2024,8589,0053,6955
26/10/2024,8068,4794,6323
27/10/2024,1739,1389,9616
29/10/2024,6716,2784,5787
30/10/2024,4277,7603,4368
02/11/2024,5752,0272,9121
03/11/2024,1095,1795,5920
06/11/2024,0131,5650,0332
09/11/2024,5142,8097,9044
10/11/2024,5214,7806,5296
13/11/2024,6885,2752,2563
16/11/2024,0771,7601,8103
17/11/2024,4339,6238,4163
20/11/2024,5729,8860,3020
23/11/2024,4664,8292,2050
24/11/2024,2784,3791,0407
27/11/2024,1378,3285,9310
30/11/2024,5174,2447,5274
01/12/2024,8197,5006,8488
04/12/2024,1207,8616,1385
07/12/2024,1222,8056,2546
08/12/2024,8084,3012,2638
11/12/2024,9761,5770,7007
14/12/2024,5044,8465,1617
15/12/2024,8430,6514,5689
18/12/2024,3098,4167,1911
21/12/2024,3252,9096,1579
22/12/2024,0048,9053,3898
25/12/2024,7185,1127,0110
28/12/2024,7613,1276,9618
29/12/2024,7096,1713,5602
31/12/2024,5780,5064,8322
01/01/2025,2621,9334,6317
04/01/2025,9800,9241,3373
05/01/2025,5532,9514,9541
08/01/2025,4480,8418,7095
11/01/2025,8246,6322,6248
12/01/2025,2323,6925,7668
15/01/2025,9422,6564,7286
18/01/2025,1933,7241,6654
19/01/2025,7486,6063,5495
22/01/2025,8444,5825,1909
25/01/2025,8458,7093,6701
26/01/2025,0196,2214,9422
28/01/2025,7866,6229,2037
29/01/2025,7766,5304,0773
01/02/2025,2647,2578,1528
02/02/2025,6154,8948,9814
04/02/2025,2682,1138,4046
05/02/2025,9331,0718,5639
08/02/2025,1791,9401,0925
09/02/2025,1730,0659,9995
11/02/2025,1382,3636,8820
12/02/2025,6911,2273,5401
15/02/2025,3692,4626,9299
16/02/2025,8844,7414,8376
19/02/2025,1033,0558,9253
22/02/2025,2436,2957,9158
23/02/2025,1783,0308,8797
26/02/2025,6805,4462,3850
01/03/2025,7381,9309,2811
02/03/2025,0578,6848,2497
05/03/2025,0455,1285,0904
08/03/2025,0840,9617,6170
09/03/2025,5099,1184,8718
12/03/2025,1602,8986,6873
15/03/2025,1703,0253,0855
16/03/2025,1946,3275,4331
19/03/2025,8679,1350,2940
22/03/2025,4860,6342,3296
23/03/2025,2981,4475,2085
26/03/2025,7956,5507,9515
29/03/2025,8444,4283,0189
30/03/2025,7397,0092,6385
02/04/2025,0327,7104,9702
05/04/2025,8186,6563,1599
06/04/2025,3006,4583,4159
09/04/2025,4500,5263,8985
12/04/2025,8660,6869,7229
13/04/2025,2097,0415,7400
16/04/2025,8508,0113,4273
19/04/2025,5389,8236,4718
20/04/2025,6800,3729,9683
23/04/2025,8136,3199,2269
26/04/2025,9013,5990,4059
27/04/2025,5728,8064,8490
29/04/2025,5849,2413,2968
30/04/2025,1856,8849,5903
03/05/2025,1958,9447,0313
04/05/2025,2675,1455,8705
07/05/2025,3891,1740,3350
10/05/2025,5753,6526,0317
11/05/2025,1651,5049,1211
14/05/2025,5788,2026,6941
